rvi1,rvi2,rvi3,rvi4,rvi5,rvi6,rvi7,rvi8,rvi9,rvi10,rvi11,rvi12,rvi13,rvi14,rvi15,rvi16,rvi17,rvi18,rvi19
0.11373492,0.1869662,0.24510959,0.28431788,0.7397997,0.7267878,0.91125405,1.2492595,1.0872772,1.2987039,0.9053098,0.72455853,0.89234,0.99237263,1.2335899,0.36026415,0.9515322,0.64518386,
0.6242418,0.591372,0.5113577,0.6237107,0.62145925,0.6645389,0.6106,0.75975156,0.48413607,0.6876365,0.5351226,0.7431599,0.5435199,0.8170689,0.5259407,0.67642826,0.5227601,0.67803025,
0.5337065,0.62408644,1.0206039,0.92379034,1.0783309,0.9523605,0.9265277,1.2987096,1.1075091,1.146596,0.85988986,0.98766327,0.6999247,0.8357562,0.9941191,0.20431316,0.21705888,0.1799153,
0.20250538,0.3697312,0.9865503,0.7810114,1.1046007,1.0803043,1.0377293,1.2086163,0.7576982,1.0837234,0.88653696,1.3526894,0.6091606,0.6945251,0.7995912,0.32530802,0.22532818,0.42344114,
0.6253489,0.9742788,0.5285396,0.6239821,0.73079234,0.8645045,1.011768,1.3161207,1.03163,0.66072345,0.8899178,0.41043463,0.3624941,0.41892186,0.42416796,0.31117523,0.17595167,0.15528049,
0.40727273,0.415829,0.54901546,0.65989643,1.0405779,0.61518645,0.8710278,1.0875727,0.9835958,0.6207833,0.82819664,1.1945665,0.7044674,0.6289899,0.6254379,0.36907652,0.36979616,0.7091032,
0.6651711,0.8052625,0.73145777,0.84098554,1.0705342,1.1487536,1.0686759,0.85246223,0.8973146,1.173925,0.9132526,1.062017,0.6852027,0.6249588,0.36851147,0.36576357,0.42241007,0.3510929,
0.3825825,0.48942673,1.0988363,0.9532268,1.2702048,1.292091,0.9902551,1.1028033,0.8012878,0.89105815,1.0054018,1.3560013,0.77000433,0.51457846,0.48018697,0.29775178,0.14973108,0.22311054,
0.34120882,0.19873881,0.7771679,0.7122606,0.9612348,1.2209425,1.0116501,0.9479835,1.0012337,1.344922,0.67415625,0.8153492,0.40463197,0.519107,0.87112087,0.5488268,0.44555077,0.6124881,
0.13341998,0.27323335,0.93673694,0.6194352,1.0311209,0.8187788,0.9813572,1.0288603,1.074435,0.92487425,0.60171133,0.9271609,0.8082704,1.0446551,0.96210694,0.69471586,0.55719036,0.922984,
0.10018092,0.17352179,0.7399226,0.5255572,0.39157242,0.19742326,1.1918278,0.9646218,0.7108242,0.60396296,1.0020081,0.9327343,0.7960025,0.82204604,0.908961,0.4811159,0.59887016,0.7283633,
0.1565942,0.32014397,0.5876384,0.43479335,1.0772063,1.0149138,0.61141086,1.0786898,0.63138765,0.6824241,0.96378666,0.7172676,0.86904836,0.7210613,0.74195415,0.8082799,0.2247339,0.2108175,
0.2556348,0.4084065,0.15732996,0.29644117,0.79663515,0.95268714,0.81071776,0.9459007,0.8735485,1.1575048,0.9084248,0.8319287,1.0354549,0.96824515,1.1819583,0.56746566,0.6631064,0.9093824,
